Date,Close
1/3/2017,60.15
1/4/2017,60.13
1/5/2017,60.11
1/6/2017,60.27
1/9/2017,61.1
1/10/2017,59.92
1/11/2017,61.63
1/12/2017,62.21
1/13/2017,62.34
1/17/2017,61.48
1/18/2017,61.17
1/19/2017,60.33
1/20/2017,62.53
1/23/2017,61.81
1/24/2017,61.21
1/25/2017,61.08
1/26/2017,61.2
1/27/2017,61.75
1/30/2017,61.43
1/31/2017,61.99
2/1/2017,62.1
2/2/2017,64.18
2/3/2017,64.29
2/6/2017,64.94
2/7/2017,64.2
2/8/2017,64.32
2/9/2017,64.39
2/10/2017,64.15
2/13/2017,64.77
2/14/2017,65.66
2/15/2017,65.16
2/16/2017,65.26
2/17/2017,65.39
2/21/2017,65.48
2/22/2017,65.29
2/23/2017,65.85
2/24/2017,66.16
2/27/2017,65.85
2/28/2017,65.87
3/1/2017,66.21
3/2/2017,66.08
3/3/2017,66.58
3/6/2017,66.47
3/7/2017,65.96
3/8/2017,65.8
3/9/2017,65.89
3/10/2017,65.6
3/13/2017,64.15
3/14/2017,64.2
3/15/2017,64.7
3/16/2017,64.18
3/17/2017,63.9
3/20/2017,64.11
3/21/2017,63.91
3/22/2017,63.5
3/23/2017,63.28
3/24/2017,63.18
3/27/2017,63.19
3/28/2017,63.34
3/29/2017,63.64
3/30/2017,63.45
3/31/2017,63.54
4/3/2017,63.47
4/4/2017,63.67
4/5/2017,63.57
4/6/2017,63.24
4/7/2017,63.13
4/10/2017,62.55
4/11/2017,62.58
4/12/2017,63.05
4/13/2017,62.61
4/17/2017,62.8
4/18/2017,62.27
4/19/2017,62.64
4/20/2017,62.55
4/21/2017,61.89
4/24/2017,62.14
4/25/2017,62.3
4/26/2017,62.7
4/27/2017,62.58
4/28/2017,62.33
5/1/2017,62.38
5/2/2017,62.7
5/3/2017,63.63
5/4/2017,63.38
5/5/2017,63.97
5/8/2017,64.01
5/9/2017,63.29
5/10/2017,63.94
5/11/2017,64.43
5/12/2017,63.57
5/15/2017,63.51
5/16/2017,63.79
5/17/2017,63
5/18/2017,63.89
5/19/2017,63.78
5/22/2017,64.04
5/23/2017,64.55
5/24/2017,64.93
5/25/2017,65.04
5/26/2017,64.92
5/30/2017,64.88
5/31/2017,65.11
6/1/2017,65.26
6/2/2017,65.47
6/5/2017,65.07
6/6/2017,64.67
6/7/2017,64.06
6/8/2017,63.2
6/9/2017,64.39
6/12/2017,64.39
6/13/2017,63.27
6/14/2017,63.37
6/15/2017,63.19
6/16/2017,62.97
6/19/2017,63.68
6/20/2017,64.53
6/21/2017,65.46
6/22/2017,66.02
6/23/2017,66.16
6/26/2017,65.92
6/27/2017,65.54
6/28/2017,65.16
6/29/2017,64.34
6/30/2017,64.09
7/3/2017,64.27
7/5/2017,64.16
7/6/2017,63.1
7/7/2017,63.16
7/10/2017,62.83
7/11/2017,62.34
7/12/2017,62.78
7/13/2017,62.89
7/14/2017,63.06
7/17/2017,62.61
7/18/2017,62.41
7/19/2017,62.62
7/20/2017,62.94
7/21/2017,62.63
7/24/2017,62.57
7/25/2017,62.36
7/26/2017,61.8
7/27/2017,63.69
7/28/2017,64.11
7/31/2017,63.88
8/1/2017,63.92
8/2/2017,63.44
8/3/2017,63.52
8/4/2017,63.1
8/7/2017,62.84
8/8/2017,62.32
8/9/2017,62.49
8/10/2017,62.18
8/11/2017,62.38
8/14/2017,62.67
8/15/2017,62.5
8/16/2017,62.7
8/17/2017,61.84
8/18/2017,61.49
8/21/2017,61.97
8/22/2017,62.42
8/23/2017,62.15
8/24/2017,62.71
8/25/2017,62.94
8/28/2017,63.32
8/29/2017,63.12
8/30/2017,63.12
8/31/2017,63.86
9/1/2017,63.83
9/5/2017,63.62
9/6/2017,64
9/7/2017,64.32
9/8/2017,64.27
9/11/2017,65.13
9/12/2017,65.46
9/13/2017,65.45
9/14/2017,66.12
9/15/2017,66.16
9/18/2017,65.99
9/19/2017,65.95
9/20/2017,65.79
9/21/2017,65.6
9/22/2017,65.13
9/25/2017,65.18
9/26/2017,64.76
9/27/2017,64.57
9/28/2017,64.29
9/29/2017,64.03
10/2/2017,64.55
10/3/2017,64.37
10/4/2017,64.6
10/5/2017,64.6
10/6/2017,64.55
10/9/2017,64.33
10/10/2017,64.46
10/11/2017,63.78
10/12/2017,63.83
10/13/2017,63.39
10/16/2017,63.34
10/17/2017,63.22
10/18/2017,63.51
10/19/2017,63.75
10/20/2017,63.88
10/23/2017,63.4
10/24/2017,63.11
10/25/2017,62.45
10/26/2017,61.99
10/27/2017,58.24
10/30/2017,54.71
10/31/2017,55.09
11/1/2017,55.34
11/2/2017,55.37
11/3/2017,56.06
11/6/2017,55.88
11/7/2017,55.59
11/8/2017,56.58
11/9/2017,56.21
11/10/2017,55.48
11/13/2017,55.1
11/14/2017,54.99
11/15/2017,54.8
11/16/2017,55.17
11/17/2017,55.2
11/20/2017,54.1
11/21/2017,54.27
11/22/2017,54.37
11/24/2017,54.35
11/27/2017,54.55
11/28/2017,54.93
11/29/2017,55.36
11/30/2017,55.27
12/1/2017,55.87
12/4/2017,56.22
12/5/2017,55.77
12/6/2017,54.35
12/7/2017,54.77
12/8/2017,55.57
12/11/2017,56.34
12/12/2017,57.07
12/13/2017,56.91
12/14/2017,56.01
12/15/2017,56.24
12/18/2017,56.22
12/19/2017,56.23
12/20/2017,56.11
12/21/2017,56.6
12/22/2017,56.36
12/26/2017,56.34
12/27/2017,56.34
12/28/2017,56.6
12/29/2017,56.27
1/2/2018,56.22
1/3/2018,56.14
1/4/2018,57.05
1/5/2018,56.99
1/8/2018,56.66
1/9/2018,56.8
1/10/2018,57.3
1/11/2018,57.6
1/12/2018,58.66
1/16/2018,62.07
1/17/2018,62.03
1/18/2018,61.13
1/19/2018,61.28
1/22/2018,61.25
1/23/2018,61.7
1/24/2018,61.18
1/25/2018,61.3
1/26/2018,62.04
1/29/2018,61.63
1/30/2018,60.65
1/31/2018,59.25
2/1/2018,59.86
2/2/2018,58.56
2/5/2018,56.4
2/6/2018,55.46
2/7/2018,55.88
2/8/2018,54.73
2/9/2018,54.87
2/12/2018,55.43
2/13/2018,54.9
