Date,Close
1/3/2017,84.2
1/4/2017,84.5
1/5/2017,85.06
1/6/2017,85.03
1/9/2017,84.4
1/10/2017,83.49
1/11/2017,83.75
1/12/2017,83.84
1/13/2017,84.01
1/17/2017,85.21
1/18/2017,84.93
1/19/2017,84.7
1/20/2017,87.45
1/23/2017,86.96
1/24/2017,87.86
1/25/2017,87.16
1/26/2017,86.6
1/27/2017,86.72
1/30/2017,86.75
1/31/2017,87.6
2/1/2017,87.33
2/2/2017,87.76
2/3/2017,87.41
2/6/2017,87.4
2/7/2017,88.01
2/8/2017,88.33
2/9/2017,88.67
2/10/2017,87.97
2/13/2017,88.31
2/14/2017,87.86
2/15/2017,91.12
2/16/2017,90.79
2/17/2017,91.09
2/21/2017,91.67
2/22/2017,91.44
2/23/2017,91.13
2/24/2017,91.05
2/27/2017,90.89
2/28/2017,91.07
3/1/2017,91.66
3/2/2017,90.91
3/3/2017,90.5
3/6/2017,90.37
3/7/2017,90.29
3/8/2017,90.14
3/9/2017,90.34
3/10/2017,91.07
3/13/2017,91.31
3/14/2017,91
3/15/2017,91.4
3/16/2017,91.44
3/17/2017,91
3/20/2017,91.22
3/21/2017,91.19
3/22/2017,90.99
3/23/2017,90.77
3/24/2017,90.57
3/27/2017,90.49
3/28/2017,90.76
3/29/2017,90.6
3/30/2017,90.2
3/31/2017,89.85
4/3/2017,89.68
4/4/2017,89.91
4/5/2017,89.97
4/6/2017,89.4
4/7/2017,89.23
4/10/2017,89.49
4/11/2017,89.8
4/12/2017,90.31
4/13/2017,90.03
4/17/2017,90.39
4/18/2017,90.8
4/19/2017,89.6
4/20/2017,89.33
4/21/2017,88.62
4/24/2017,89.55
4/25/2017,90
4/26/2017,87.74
4/27/2017,87.69
4/28/2017,87.33
5/1/2017,87.09
5/2/2017,86.22
5/3/2017,86.43
5/4/2017,86.45
5/5/2017,86.5
5/8/2017,86.55
5/9/2017,86.4
5/10/2017,86.49
5/11/2017,86.17
5/12/2017,86.19
5/15/2017,86.33
5/16/2017,86.24
5/17/2017,86.26
5/18/2017,85.87
5/19/2017,86.24
5/22/2017,86.21
5/23/2017,86.08
5/24/2017,86.5
5/25/2017,86.86
5/26/2017,87.25
5/30/2017,87.4
5/31/2017,88.09
6/1/2017,88.13
6/2/2017,88.59
6/5/2017,88.74
6/6/2017,88.8
6/7/2017,88.77
6/8/2017,87.85
6/9/2017,88.16
6/12/2017,88.24
6/13/2017,88.06
6/14/2017,88.44
6/15/2017,89.38
6/16/2017,89.66
6/19/2017,89.86
6/20/2017,89.63
6/21/2017,89.4
6/22/2017,89.03
6/23/2017,89.42
6/26/2017,89.36
6/27/2017,88.61
6/28/2017,88.37
6/29/2017,86.99
6/30/2017,87.15
7/3/2017,87.74
7/5/2017,87.67
7/6/2017,87.37
7/7/2017,87.65
7/10/2017,87.09
7/11/2017,86.77
7/12/2017,86.96
7/13/2017,86.7
7/14/2017,87.1
7/17/2017,87.55
7/18/2017,88.64
7/19/2017,88.35
7/20/2017,88.6
7/21/2017,88.61
7/24/2017,88.18
7/25/2017,89.14
7/26/2017,89.3
7/27/2017,90.68
7/28/2017,90.21
7/31/2017,90.82
8/1/2017,91.1
8/2/2017,91.04
8/3/2017,90.86
8/4/2017,90.67
8/7/2017,91.44
8/8/2017,91.58
8/9/2017,91.92
8/10/2017,91.74
8/11/2017,91.34
8/14/2017,91.65
8/15/2017,92.2
8/16/2017,92.44
8/17/2017,92.07
8/18/2017,92.47
8/21/2017,92.86
8/22/2017,92.79
8/23/2017,92.44
8/24/2017,92.27
8/25/2017,92.51
8/28/2017,92.47
8/29/2017,92.32
8/30/2017,91.87
8/31/2017,92.27
9/1/2017,92.53
9/5/2017,92.72
9/6/2017,92.72
9/7/2017,92.97
9/8/2017,92.84
9/11/2017,93.99
9/12/2017,93.51
9/13/2017,93.55
9/14/2017,93.55
9/15/2017,93.27
9/18/2017,93.15
9/19/2017,94.17
9/20/2017,94.4
9/21/2017,92.64
9/22/2017,92.24
9/25/2017,92.72
9/26/2017,92.65
9/27/2017,90.87
9/28/2017,90.89
9/29/2017,90.98
10/2/2017,91.77
10/3/2017,92.12
10/4/2017,92.42
10/5/2017,92.03
10/6/2017,92.33
10/9/2017,92.12
10/10/2017,91.62
10/11/2017,91.46
10/12/2017,92.15
10/13/2017,93.04
10/16/2017,93.14
10/17/2017,92.8
10/18/2017,92.77
10/19/2017,91.59
10/20/2017,88.25
10/23/2017,87.3
10/24/2017,86.98
10/25/2017,86.86
10/26/2017,87.5
10/27/2017,87.04
10/30/2017,86.27
10/31/2017,86.34
11/1/2017,86.89
11/2/2017,86.51
11/3/2017,86.58
11/6/2017,86.05
11/7/2017,86.98
11/8/2017,87.58
11/9/2017,87.78
11/10/2017,88.16
11/13/2017,89
11/14/2017,88.87
11/15/2017,88.23
11/16/2017,89.25
11/17/2017,88.43
